"","mirnaID","accession","species","maturemirna"
"113","hsa-let-7a-5p","MIMAT0000062","Homo sapiens","let-7a-5p"
"114","hsa-let-7a-3p","MIMAT0004481","Homo sapiens","let-7a-3p"
"115","hsa-let-7a-2-3p","MIMAT0010195","Homo sapiens","let-7a-2-3p"
"116","hsa-let-7b-5p","MIMAT0000063","Homo sapiens","let-7b-5p"
"117","hsa-let-7b-3p","MIMAT0004482","Homo sapiens","let-7b-3p"
"118","hsa-let-7c-5p","MIMAT0000064","Homo sapiens","let-7c-5p"
"119","hsa-let-7c-3p","MIMAT0026472","Homo sapiens","let-7c-3p"
"120","hsa-let-7d-5p","MIMAT0000065","Homo sapiens","let-7d-5p"
"121","hsa-let-7d-3p","MIMAT0004484","Homo sapiens","let-7d-3p"
"122","hsa-let-7e-5p","MIMAT0000066","Homo sapiens","let-7e-5p"
"123","hsa-let-7e-3p","MIMAT0004485","Homo sapiens","let-7e-3p"
"124","hsa-let-7f-5p","MIMAT0000067","Homo sapiens","let-7f-5p"
"125","hsa-let-7f-1-3p","MIMAT0004486","Homo sapiens","let-7f-1-3p"
"126","hsa-let-7f-2-3p","MIMAT0004487","Homo sapiens","let-7f-2-3p"
"127","hsa-miR-15a-5p","MIMAT0000068","Homo sapiens","miR-15a-5p"
"128","hsa-miR-15a-3p","MIMAT0004488","Homo sapiens","miR-15a-3p"
"129","hsa-miR-16-5p","MIMAT0000069","Homo sapiens","miR-16-5p"
"130","hsa-miR-16-1-3p","MIMAT0004489","Homo sapiens","miR-16-1-3p"
"131","hsa-miR-17-5p","MIMAT0000070","Homo sapiens","miR-17-5p"
"132","hsa-miR-17-3p","MIMAT0000071","Homo sapiens","miR-17-3p"
"133","hsa-miR-18a-5p","MIMAT0000072","Homo sapiens","miR-18a-5p"
"134","hsa-miR-18a-3p","MIMAT0002891","Homo sapiens","miR-18a-3p"
"135","hsa-miR-19a-5p","MIMAT0004490","Homo sapiens","miR-19a-5p"
"136","hsa-miR-19a-3p","MIMAT0000073","Homo sapiens","miR-19a-3p"
"137","hsa-miR-19b-1-5p","MIMAT0004491","Homo sapiens","miR-19b-1-5p"
"138","hsa-miR-19b-3p","MIMAT0000074","Homo sapiens","miR-19b-3p"
"139","hsa-miR-19b-2-5p","MIMAT0004492","Homo sapiens","miR-19b-2-5p"
"140","hsa-miR-20a-5p","MIMAT0000075","Homo sapiens","miR-20a-5p"
"141","hsa-miR-20a-3p","MIMAT0004493","Homo sapiens","miR-20a-3p"
"142","hsa-miR-21-5p","MIMAT0000076","Homo sapiens","miR-21-5p"
"143","hsa-miR-21-3p","MIMAT0004494","Homo sapiens","miR-21-3p"
"144","hsa-miR-22-5p","MIMAT0004495","Homo sapiens","miR-22-5p"
"145","hsa-miR-22-3p","MIMAT0000077","Homo sapiens","miR-22-3p"
"146","hsa-miR-23a-5p","MIMAT0004496","Homo sapiens","miR-23a-5p"
"147","hsa-miR-23a-3p","MIMAT0000078","Homo sapiens","miR-23a-3p"
"148","hsa-miR-24-1-5p","MIMAT0000079","Homo sapiens","miR-24-1-5p"
"149","hsa-miR-24-3p","MIMAT0000080","Homo sapiens","miR-24-3p"
"150","hsa-miR-24-2-5p","MIMAT0004497","Homo sapiens","miR-24-2-5p"
"151","hsa-miR-25-5p","MIMAT0004498","Homo sapiens","miR-25-5p"
"152","hsa-miR-25-3p","MIMAT0000081","Homo sapiens","miR-25-3p"
"153","hsa-miR-26a-5p","MIMAT0000082","Homo sapiens","miR-26a-5p"
"154","hsa-miR-26a-1-3p","MIMAT0004499","Homo sapiens","miR-26a-1-3p"
